segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,car_mean_velocity,truck_mean_velocity,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,max_parados,max_en_atasco,max_v_diff,num_cars,num_trucks,truck_pct
44,ATASCO,19.289451146085344,17.683255661976098,24.49687132089715,6.8136156589210515,19.48630375535565,19.09259853681504,15.917230401910068,1105.3246975870632,85.73089398260153,0,19,10,11,23.403559317231384,62.825,165.95292829990512,27.312600780289102,0.4347409594952503,1,21,23.66236188423689,20,20,0.5
45,ATASCO,19.290967225912745,17.71144313050039,24.467042768988854,6.755599638488466,19.48358837848273,19.098346073342764,15.917230401910068,1105.4115720379766,85.73763211516776,0,19,10,11,23.576983037600826,62.825,165.2690514163528,27.31555374424844,0.43478796250295965,1,21,23.66236188423689,20,20,0.5
46,ATASCO,19.292409630087757,17.74131689206721,24.43455999302729,6.693243100960078,19.48120718916617,19.103612071009344,15.917230401910068,1105.4942247244876,85.74404280039003,0,19,10,11,23.73667628786609,62.825,165.2224738450377,27.318312647840095,0.43483187660708467,1,21,23.66236188423689,20,20,0.5
47,ATASCO,19.29377542951078,17.772281622305684,24.399218665414576,6.626937043108892,19.47908206516029,19.108468793861274,15.917230401910068,1105.5724878032443,85.75011302004792,0,19,10,11,23.884187823447633,62.825,165.33531810780505,27.320892627976104,0.4348729427453419,1,21,23.66236188423689,20,20,0.5
48,ATASCO,19.295058148817795,17.80387680643827,24.36076717764302,6.556890371204748,19.477141385459102,19.11297491217649,15.917230401910068,1105.6459902227466,85.75581399474575,0,19,10,11,24.020903472202463,62.825,165.4282615248676,27.323301876861922,0.434911291314953,1,21,23.66236188423689,20,20,0.5
49,ATASCO,19.296248605111938,17.835750050133413,24.318910836261875,6.483160786128462,19.475319036714257,19.117178173509622,15.917230401910068,1105.714205784369,85.76110491160861,0,19,10,11,24.148045595842746,62.825,167.1487221813568,27.325543148489345,0.4349469661518399,1,21,23.66236188423689,20,20,0.5
50,ATASCO,19.297335539720443,17.867634289478925,24.27331375655465,6.405679467075725,19.473553529370385,19.121117550070494,15.917230401910068,1105.7764893433123,85.76593573209085,0,19,10,11,24.266682359796164,62.825,171.49763527860625,27.327614927238063,0.43497994313152505,1,21,23.66236188423689,20,20,0.5
51,ATASCO,19.298306077046902,17.89932898953629,24.22359940990038,6.3242704203640905,19.471787192688364,19.12482496140544,15.917230401910068,1105.8321031017724,85.77024923131957,0,19,10,11,24.377741861295362,62.825,175.79595778646421,27.32951231739826,0.4350101443278673,1,21,23.66236188423689,20,20,0.5
52,ATASCO,19.299146049443003,17.930685022986374,24.169350568052653,6.238665545066279,19.469965443895717,19.128326654990296,15.917230401910068,1105.8802352247483,85.7739824419689,0,19,10,11,24.38427581883252,62.825,180.0398104446399,27.33122771319058,0.43503744867792404,1,21,23.66236188423689,20,20,0.5
53,ATASCO,19.299840227276754,17.961592738148745,24.1101092889763,6.148516550827555,19.468036142355842,19.13164431219766,15.917230401910068,1105.9200130234192,85.77706767678556,0,19,10,11,24.36126941666896,62.825,184.22479706820013,27.332751305326166,0.43506170004498473,1,21,23.66236188423689,20,20,0.5
54,ATASCO,19.300372491749794,17.991972676661224,24.04537757544577,6.053404898784546,19.465949049423777,19.134795934075814,15.917230401910068,1105.9505128579272,85.77943329666576,0,19,10,11,24.34293753626889,62.825,188.3459834183118,27.33407147526875,0.4350827134941305,1,21,23.66236188423689,20,20,0.5
55,ATASCO,19.300725986238426,18.02176842671006,23.974619389882104,5.952850963172043,19.463655421859162,19.137796550617686,15.917230401910068,1105.9707688095239,85.7810043832819,0,19,10,11,24.328972778138677,62.825,192.3978728179551,27.335175123892846,0.435100280523563,1,21,23.66236188423689,20,20,0.5
56,ATASCO,19.300883280924797,18.050941159239915,23.897264811684575,5.84632365244466,19.461107773330788,19.140658788518806,15.917230401910068,1105.979782114274,85.78170347077688,0,19,10,11,24.319074578095524,62.825,196.37438148631236,27.336047978054502,0.43511417394436136,1,21,23.66236188423689,20,20,0.5
57,ATASCO,19.30082658553944,18.079465468352545,23.812717260625863,5.733251792273318,19.458259845558153,19.143393325520726,15.917230401910068,1105.976533353633,85.7814514912864,0,19,10,11,24.31295133753258,62.825,200.2688171093705,27.336674916919623,0.4351241530747254,1,21,23.66236188423689,20,20,0.5
58,ATASCO,19.300538045909523,18.10732620980302,23.72036485963648,5.6130386498334595,19.455066837820375,19.146009253998667,15.917230401910068,1105.9599994472628,85.78016909293122,0,19,10,11,24.310321899000883,62.825,204.0738649344553,27.33704035940919,0.43512996990703046,1,21,23.66236188423689,20,20,0.5
59,ATASCO,19.300000160933894,18.134516096531677,23.619597138356482,5.485081041824806,19.451485949670364,19.148514372197422,15.917230401910068,1105.9291775465504,85.77777849303953,0,19,10,11,24.310916550396314,62.825,207.78158664572175,27.33712875398325,0.4351313769038321,1,21,23.66236188423689,20,20,0.5
