segundo,estado,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,v_diff,car_mean_velocity,truck_mean_velocity,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
112,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,1977.44
113,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,1972.44
114,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,1967.44
115,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,1962.44
116,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,1957.44
117,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,1952.44
118,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,1947.44
119,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,1942.44
120,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,1937.44
121,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,1932.44
122,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,1927.44
123,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,1922.44
124,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,1917.44
125,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,1912.44
126,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,1907.44
127,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,1902.44
128,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,1897.44
129,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,1892.44
