segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,coches_parados,coches_atasco,coches_frenando,coches_normal,coches_acelerando,coches_crucero,gap_min,gap_medio,gap_max,accel_media,coches_acelerando_count,coches_frenando_count,max_stopped_acumulado,max_v_diff_acumulado
167,DISOLVIENDO,28.02,26.97,29.43,2.46,0,0,0,31,0,4,49.94,66.81,123.14,0.0,19,16,1,24.44
168,DISOLVIENDO,28.02,26.98,29.43,2.45,0,0,0,31,0,4,49.99,66.81,122.07,0.0,19,16,1,24.44
169,DISOLVIENDO,28.02,26.98,29.43,2.44,0,0,0,31,0,4,50.05,66.81,121.0,0.0,19,16,1,24.44
170,DISOLVIENDO,28.02,26.98,29.42,2.44,0,0,0,31,0,4,50.1,66.81,119.94,0.0,19,16,1,24.44
171,DISOLVIENDO,28.03,26.99,29.42,2.43,0,0,0,31,0,4,50.16,66.81,118.9,0.0,19,16,1,24.44
172,DISOLVIENDO,28.03,26.99,29.42,2.43,0,0,0,31,0,4,50.22,66.81,117.86,0.0,19,16,1,24.44
173,DISOLVIENDO,28.03,27.0,29.42,2.42,0,0,0,31,0,4,50.24,66.81,117.52,0.0,19,16,1,24.44
174,DISOLVIENDO,28.03,27.0,29.41,2.41,0,0,0,31,0,4,50.27,66.81,117.39,0.0,19,16,1,24.44
175,DISOLVIENDO,28.03,27.01,29.41,2.41,0,0,0,31,0,4,50.3,66.81,117.24,0.0,19,16,1,24.44
176,DISOLVIENDO,28.03,27.01,29.41,2.4,0,0,0,31,0,4,50.33,66.81,117.09,0.0,20,15,1,24.44
177,DISOLVIENDO,28.03,27.02,29.41,2.39,0,0,0,31,0,4,50.37,66.81,116.93,0.0,20,15,1,24.44
178,DISOLVIENDO,28.03,27.02,29.4,2.38,0,0,0,31,0,4,50.41,66.81,116.76,0.0,20,15,1,24.44
179,DISOLVIENDO,28.04,27.03,29.4,2.37,0,0,0,31,0,4,50.45,66.81,116.58,0.0,20,15,1,24.44
180,DISOLVIENDO,28.04,27.04,29.4,2.36,0,0,0,31,0,4,50.5,66.81,116.39,0.0,20,15,1,24.44
181,DISOLVIENDO,28.04,27.04,29.39,2.36,0,0,0,31,0,4,50.55,66.81,116.2,0.0,20,15,1,24.44
182,DISOLVIENDO,28.04,27.04,29.39,2.35,0,0,0,31,0,4,50.6,66.81,115.99,0.0,20,15,1,24.44
183,DISOLVIENDO,28.04,27.05,29.39,2.34,0,0,0,31,0,4,50.65,66.81,115.78,0.0,20,15,1,24.44
184,DISOLVIENDO,28.04,27.05,29.39,2.34,0,0,0,31,0,4,50.7,66.81,115.56,0.0,20,15,1,24.44
185,DISOLVIENDO,28.04,27.05,29.38,2.33,0,0,0,31,0,4,50.75,66.81,115.33,0.0,20,15,1,24.44
186,DISOLVIENDO,28.04,27.06,29.38,2.32,0,0,0,31,0,4,50.77,66.81,115.09,0.0,20,15,1,24.44
187,DISOLVIENDO,28.04,27.06,29.37,2.31,0,0,0,31,0,4,50.8,66.81,114.85,0.0,20,15,1,24.44
188,DISOLVIENDO,28.04,27.06,29.37,2.31,0,0,0,30,0,5,50.82,66.81,114.6,0.0,20,15,1,24.44
189,DISOLVIENDO,28.05,27.07,29.37,2.3,0,0,0,30,0,5,50.85,66.81,114.33,0.0,21,14,1,24.44
190,DISOLVIENDO,28.05,27.07,29.36,2.29,0,0,0,30,0,5,50.89,66.81,114.06,0.0,21,14,1,24.44
191,DISOLVIENDO,28.05,27.08,29.36,2.28,0,0,0,30,0,5,50.92,66.81,113.78,0.0,21,14,1,24.44
192,DISOLVIENDO,28.05,27.09,29.35,2.27,0,0,0,30,0,5,50.96,66.81,113.5,0.0,21,14,1,24.44
193,DISOLVIENDO,28.05,27.09,29.35,2.26,0,0,0,30,0,5,51.0,66.81,113.2,0.0,20,15,1,24.44
194,DISOLVIENDO,28.05,27.09,29.34,2.25,0,0,0,30,0,5,51.05,66.81,112.9,0.0,20,15,1,24.44
195,DISOLVIENDO,28.05,27.1,29.34,2.24,0,0,0,30,0,5,51.09,66.81,112.59,0.0,20,15,1,24.44
196,DISOLVIENDO,28.05,27.1,29.34,2.24,0,0,0,30,0,5,51.14,66.81,112.27,0.0,20,15,1,24.44
197,DISOLVIENDO,28.05,27.1,29.33,2.23,0,0,0,30,0,5,51.19,66.81,111.95,0.0,20,15,1,24.44
198,DISOLVIENDO,28.05,27.1,29.33,2.22,0,0,0,31,0,4,51.24,66.81,111.61,0.0,20,15,1,24.44
199,DISOLVIENDO,28.05,27.11,29.32,2.21,0,0,0,31,0,4,51.26,66.81,111.27,0.0,20,15,1,24.44
200,DISOLVIENDO,28.06,27.11,29.31,2.2,0,0,0,31,0,4,51.28,66.81,110.92,0.0,20,15,1,24.44
201,DISOLVIENDO,28.06,27.12,29.31,2.19,0,0,0,31,0,4,51.3,66.81,110.57,0.0,20,15,1,24.44
