segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_acelerando,coches_decelerando,coches_constante,gap_min,gap_medio,gap_max,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_v_diff
100,DISOLVIENDO,23.27,21.81,24.86,3.06,15.92,1333.0,109.5,0,0,0,40,37.29,57.83,212.43,3154.2,0,0,2,23.61
101,DISOLVIENDO,23.28,21.82,24.86,3.04,15.92,1334.0,109.5,0,0,0,40,37.39,57.83,211.19,3157.9,0,0,2,23.61
102,DISOLVIENDO,23.28,21.83,24.86,3.03,15.92,1334.0,109.5,0,0,0,40,37.49,57.83,209.94,3161.6,0,0,2,23.61
103,DISOLVIENDO,23.28,21.84,24.86,3.02,15.92,1334.0,109.6,0,0,0,40,37.6,57.83,208.7,3165.3,0,0,2,23.61
104,DISOLVIENDO,23.28,21.85,24.85,3.01,15.92,1334.0,109.6,0,0,0,40,37.71,57.83,207.46,3169.0,0,0,2,23.61
105,DISOLVIENDO,23.28,21.86,24.85,3.0,15.92,1334.0,109.6,0,0,0,40,37.76,57.83,206.22,3172.6,0,0,2,23.61
106,DISOLVIENDO,23.29,21.87,24.85,2.98,15.92,1334.0,109.6,0,0,0,40,37.81,57.83,204.98,3176.2,0,0,2,23.61
107,DISOLVIENDO,23.29,21.88,24.85,2.97,15.92,1334.0,109.6,0,0,0,40,37.86,57.83,203.75,3179.8,0,0,2,23.61
108,DISOLVIENDO,23.29,21.89,24.85,2.95,15.92,1334.0,109.6,0,0,0,40,37.92,57.83,202.51,3183.3,0,0,2,23.61
109,DISOLVIENDO,23.29,21.91,24.85,2.94,15.92,1334.0,109.6,0,0,0,40,37.99,57.83,201.28,3186.7,0,0,2,23.61
110,DISOLVIENDO,23.29,21.92,24.84,2.92,15.92,1335.0,109.6,0,0,0,40,38.06,57.83,200.05,3190.2,0,0,2,23.61
111,DISOLVIENDO,23.29,21.93,24.84,2.91,15.92,1335.0,109.6,0,0,0,40,38.14,57.83,198.82,3193.6,0,0,2,23.61
112,DISOLVIENDO,23.3,21.95,24.84,2.89,15.92,1335.0,109.6,0,0,0,40,38.23,57.83,197.6,3197.0,0,0,2,23.61
113,DISOLVIENDO,23.3,21.96,24.84,2.88,15.92,1335.0,109.6,0,0,0,40,38.31,57.83,196.37,3200.4,0,0,2,23.61
114,DISOLVIENDO,23.3,21.96,24.84,2.87,15.92,1335.0,109.6,0,0,0,40,38.4,57.83,195.15,3203.7,0,0,2,23.61
115,DISOLVIENDO,23.3,21.97,24.83,2.86,15.92,1335.0,109.7,0,0,0,40,38.5,57.83,193.93,3207.1,0,0,2,23.61
116,DISOLVIENDO,23.3,21.98,24.83,2.85,15.92,1335.0,109.7,0,0,0,40,38.58,57.83,192.71,3210.4,0,0,2,23.61
117,DISOLVIENDO,23.3,21.99,24.83,2.84,15.92,1335.0,109.7,0,0,0,40,38.61,57.83,191.49,3213.7,0,0,2,23.61
118,DISOLVIENDO,23.31,22.0,24.83,2.83,15.92,1335.0,109.7,0,0,0,40,38.65,57.83,190.28,3217.0,0,0,2,23.61
119,DISOLVIENDO,23.31,22.01,24.83,2.82,15.92,1335.0,109.7,0,0,0,40,38.7,57.83,189.06,3220.2,0,0,2,23.61
120,DISOLVIENDO,23.31,22.02,24.82,2.81,15.92,1336.0,109.7,0,0,0,40,38.76,57.83,187.85,3223.4,0,0,2,23.61
121,DISOLVIENDO,23.31,22.03,24.82,2.79,15.92,1336.0,109.7,0,0,0,40,38.82,57.83,186.64,3226.5,0,0,2,23.61
122,DISOLVIENDO,23.31,22.04,24.82,2.78,15.92,1336.0,109.7,0,0,0,40,38.88,57.83,185.44,3229.7,0,0,2,23.61
123,DISOLVIENDO,23.31,22.05,24.82,2.77,15.92,1336.0,109.7,0,0,0,40,38.95,57.83,184.23,3232.8,0,0,2,23.61
124,DISOLVIENDO,23.32,22.06,24.82,2.75,15.92,1336.0,109.7,0,0,0,40,39.02,57.83,183.03,3235.9,0,0,2,23.61
125,DISOLVIENDO,23.32,22.07,24.81,2.74,15.92,1336.0,109.7,0,0,0,40,39.1,57.83,181.83,3239.1,0,0,2,23.61
126,DISOLVIENDO,23.32,22.08,24.81,2.74,15.92,1336.0,109.7,0,0,0,40,39.18,57.83,180.63,3242.1,0,0,2,23.61
127,DISOLVIENDO,23.32,22.08,24.81,2.73,15.92,1336.0,109.7,0,0,0,40,39.26,57.83,179.44,3245.2,0,0,2,23.61
128,DISOLVIENDO,23.32,22.09,24.81,2.72,15.92,1336.0,109.7,0,0,0,40,39.33,57.83,178.25,3248.3,0,0,2,23.61
129,DISOLVIENDO,23.32,22.09,24.8,2.71,15.92,1336.0,109.8,0,0,0,40,39.36,57.83,177.06,3251.3,0,0,2,23.61
130,DISOLVIENDO,23.32,22.1,24.8,2.7,15.92,1336.0,109.8,0,0,0,40,39.39,57.83,175.87,3254.3,0,0,2,23.61
131,DISOLVIENDO,23.33,22.11,24.8,2.69,15.92,1336.0,109.8,0,0,0,40,39.44,57.83,174.68,3257.3,0,0,2,23.61
132,DISOLVIENDO,23.33,22.12,24.8,2.68,15.92,1337.0,109.8,0,0,0,40,39.48,57.83,173.5,3260.2,0,0,2,23.61
133,DISOLVIENDO,23.33,22.13,24.79,2.67,15.92,1337.0,109.8,0,0,0,40,39.53,57.83,172.32,3263.2,0,0,2,23.61
134,DISOLVIENDO,23.33,22.14,24.79,2.65,15.92,1337.0,109.8,0,0,0,40,39.59,57.83,171.14,3266.1,0,0,2,23.61
135,DISOLVIENDO,23.33,22.15,24.79,2.64,15.92,1337.0,109.8,0,0,0,40,39.65,57.83,169.97,3269.0,0,0,2,23.61
136,DISOLVIENDO,23.33,22.16,24.79,2.63,15.92,1337.0,109.8,0,0,0,40,39.71,57.83,168.8,3271.9,0,0,2,23.61
137,DISOLVIENDO,23.33,22.16,24.78,2.62,15.92,1337.0,109.8,0,0,0,40,39.78,57.83,167.63,3274.8,0,0,2,23.61
138,DISOLVIENDO,23.34,22.17,24.78,2.61,15.92,1337.0,109.8,0,0,0,40,39.85,57.83,166.46,3277.6,0,0,2,23.61
139,DISOLVIENDO,23.34,22.17,24.78,2.6,15.92,1337.0,109.8,0,0,0,40,39.92,57.83,165.3,3280.5,0,0,2,23.61
140,DISOLVIENDO,23.34,22.18,24.77,2.6,15.92,1337.0,109.8,0,0,0,40,39.99,57.83,164.14,3283.3,0,0,2,23.61
141,DISOLVIENDO,23.34,22.18,24.77,2.59,15.92,1337.0,109.8,0,0,0,40,40.02,57.83,162.98,3286.2,0,0,2,23.61
142,DISOLVIENDO,23.34,22.19,24.77,2.58,15.92,1337.0,109.8,0,0,0,40,40.05,57.83,161.83,3289.0,0,0,2,23.61
143,DISOLVIENDO,23.34,22.2,24.76,2.57,15.92,1337.0,109.8,0,0,0,40,40.08,57.83,160.68,3291.7,0,0,2,23.61
144,DISOLVIENDO,23.34,22.2,24.76,2.56,15.92,1338.0,109.9,0,0,0,40,40.12,57.83,159.53,3294.5,0,0,2,23.61
145,DISOLVIENDO,23.35,22.21,24.76,2.55,15.92,1338.0,109.9,0,0,0,40,40.17,57.83,158.39,3297.3,0,0,2,23.61
146,DISOLVIENDO,23.35,22.22,24.75,2.54,15.92,1338.0,109.9,0,0,0,40,40.21,57.83,157.24,3300.0,0,0,2,23.61
147,DISOLVIENDO,23.35,22.23,24.75,2.52,15.92,1338.0,109.9,0,0,0,40,40.26,57.83,156.11,3302.7,0,0,2,23.61
148,DISOLVIENDO,23.35,22.24,24.75,2.51,15.92,1338.0,109.9,0,0,0,40,40.32,57.83,154.97,3305.4,0,0,2,23.61
149,DISOLVIENDO,23.35,22.24,24.74,2.5,15.92,1338.0,109.9,0,0,0,40,40.38,57.83,153.84,3308.1,0,0,2,23.61
150,DISOLVIENDO,23.35,22.25,24.74,2.49,15.92,1338.0,109.9,0,0,0,40,40.44,57.83,152.71,3310.8,0,0,2,23.61
151,DISOLVIENDO,23.35,22.25,24.74,2.49,15.92,1338.0,109.9,0,0,0,40,40.5,57.83,151.59,3313.5,0,0,2,23.61
152,DISOLVIENDO,23.35,22.25,24.73,2.48,15.92,1338.0,109.9,0,0,0,40,40.56,57.83,150.47,3316.2,0,0,2,23.61
153,DISOLVIENDO,23.35,22.26,24.73,2.47,15.92,1338.0,109.9,0,0,0,40,40.61,57.83,149.35,3318.8,0,0,2,23.61
154,DISOLVIENDO,23.36,22.26,24.73,2.46,15.92,1338.0,109.9,0,0,0,40,40.63,57.83,148.24,3321.5,0,0,2,23.61
