segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_acelerando,coches_decelerando,coches_constante,gap_min,gap_medio,gap_max,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_v_diff
110,DISOLVIENDO,28.36,27.02,29.87,2.85,11.94,1219.0,111.2,0,0,0,30,50.13,78.78,279.61,316.2,0,0,1,28.71
111,DISOLVIENDO,28.36,27.03,29.87,2.83,11.94,1219.0,111.2,0,0,0,30,50.25,78.78,278.48,316.4,0,0,1,28.71
112,DISOLVIENDO,28.37,27.04,29.87,2.83,11.94,1219.0,111.2,0,0,0,30,50.37,78.78,277.36,316.7,0,0,1,28.71
113,DISOLVIENDO,28.37,27.05,29.87,2.82,11.94,1219.0,111.2,0,0,0,30,50.5,78.78,276.24,317.0,0,0,1,28.71
114,DISOLVIENDO,28.37,27.05,29.86,2.81,11.94,1219.0,111.3,0,0,0,30,50.63,78.78,275.12,317.2,0,0,1,28.71
115,DISOLVIENDO,28.37,27.06,29.86,2.8,11.94,1219.0,111.3,0,0,0,30,50.76,78.78,274.0,317.5,0,0,1,28.71
116,DISOLVIENDO,28.37,27.07,29.86,2.79,11.94,1219.0,111.3,0,0,0,30,50.87,78.78,272.88,317.7,0,0,1,28.71
117,DISOLVIENDO,28.38,27.08,29.86,2.78,11.94,1219.0,111.3,0,0,0,30,50.92,78.78,271.76,318.0,0,0,1,28.71
118,DISOLVIENDO,28.38,27.09,29.86,2.77,11.94,1219.0,111.3,0,0,0,30,50.98,78.78,270.64,318.3,0,0,1,28.71
119,DISOLVIENDO,28.38,27.1,29.86,2.76,11.94,1219.0,111.3,0,0,0,30,51.04,78.78,269.53,318.5,0,0,1,28.71
120,DISOLVIENDO,28.38,27.11,29.86,2.75,11.94,1220.0,111.3,0,0,0,30,51.11,78.78,268.41,318.7,0,0,1,28.71
121,DISOLVIENDO,28.38,27.12,29.86,2.74,11.94,1220.0,111.3,0,0,0,30,51.18,78.78,267.3,319.0,0,0,1,28.71
122,DISOLVIENDO,28.38,27.13,29.86,2.73,11.94,1220.0,111.3,0,0,0,30,51.26,78.78,266.19,319.2,0,0,1,28.71
123,DISOLVIENDO,28.39,27.14,29.85,2.71,11.94,1220.0,111.3,0,0,0,30,51.34,78.78,265.08,319.5,0,0,1,28.71
124,DISOLVIENDO,28.39,27.15,29.85,2.7,11.94,1220.0,111.3,0,0,0,30,51.43,78.78,263.97,319.7,0,0,1,28.71
125,DISOLVIENDO,28.39,27.16,29.85,2.69,11.94,1220.0,111.3,0,0,0,30,51.52,78.78,262.86,320.0,0,0,1,28.71
126,DISOLVIENDO,28.39,27.18,29.85,2.68,11.94,1220.0,111.3,0,0,0,30,51.61,78.78,261.75,320.2,0,0,1,28.71
127,DISOLVIENDO,28.39,27.19,29.85,2.66,11.94,1220.0,111.3,0,0,0,30,51.71,78.78,260.64,320.4,0,0,1,28.71
128,DISOLVIENDO,28.39,27.19,29.85,2.65,11.94,1220.0,111.3,0,0,0,30,51.81,78.78,259.54,320.7,0,0,1,28.71
129,DISOLVIENDO,28.4,27.2,29.85,2.65,11.94,1220.0,111.4,0,0,0,30,51.91,78.78,258.44,320.9,0,0,1,28.71
130,DISOLVIENDO,28.4,27.2,29.85,2.64,11.94,1220.0,111.4,0,0,0,30,52.02,78.78,257.33,321.1,0,0,1,28.71
131,DISOLVIENDO,28.4,27.21,29.84,2.63,11.94,1220.0,111.4,0,0,0,30,52.13,78.78,256.23,321.4,0,0,1,28.71
132,DISOLVIENDO,28.4,27.22,29.84,2.63,11.94,1220.0,111.4,0,0,0,30,52.24,78.78,255.13,321.6,0,0,1,28.71
133,DISOLVIENDO,28.4,27.22,29.84,2.62,11.94,1220.0,111.4,0,0,0,30,52.33,78.78,254.03,321.8,0,0,1,28.71
134,DISOLVIENDO,28.4,27.23,29.84,2.61,11.94,1221.0,111.4,0,0,0,30,52.37,78.78,252.94,322.1,0,0,1,28.71
135,DISOLVIENDO,28.4,27.24,29.84,2.6,11.94,1221.0,111.4,0,0,0,30,52.41,78.78,251.84,322.3,0,0,1,28.71
136,DISOLVIENDO,28.41,27.24,29.84,2.59,11.94,1221.0,111.4,0,0,0,30,52.46,78.78,250.74,322.5,0,0,1,28.71
137,DISOLVIENDO,28.41,27.25,29.84,2.58,11.94,1221.0,111.4,0,0,0,30,52.52,78.78,249.65,322.7,0,0,1,28.71
138,DISOLVIENDO,28.41,27.26,29.83,2.57,11.94,1221.0,111.4,0,0,0,30,52.58,78.78,248.56,322.9,0,0,1,28.71
139,DISOLVIENDO,28.41,27.27,29.83,2.57,11.94,1221.0,111.4,0,0,0,30,52.64,78.78,247.47,323.2,0,0,1,28.71
140,DISOLVIENDO,28.41,27.28,29.83,2.56,11.94,1221.0,111.4,0,0,0,30,52.71,78.78,246.38,323.4,0,0,1,28.71
141,DISOLVIENDO,28.41,27.29,29.83,2.54,11.94,1221.0,111.4,0,0,0,30,52.78,78.78,245.29,323.6,0,0,1,28.71
142,DISOLVIENDO,28.41,27.29,29.83,2.53,11.94,1221.0,111.4,0,0,0,30,52.86,78.78,244.21,323.8,0,0,1,28.71
143,DISOLVIENDO,28.42,27.3,29.83,2.52,11.94,1221.0,111.4,0,0,0,30,52.94,78.78,243.12,324.0,0,0,1,28.71
144,DISOLVIENDO,28.42,27.31,29.83,2.51,11.94,1221.0,111.4,0,0,0,30,53.02,78.78,242.04,324.2,0,0,1,28.71
145,DISOLVIENDO,28.42,27.32,29.82,2.5,11.94,1221.0,111.4,0,0,0,30,53.1,78.78,240.95,324.5,0,0,1,28.71
146,DISOLVIENDO,28.42,27.33,29.82,2.5,11.94,1221.0,111.5,0,0,0,30,53.19,78.78,239.87,324.7,0,0,1,28.71
147,DISOLVIENDO,28.42,27.33,29.82,2.49,11.94,1221.0,111.5,0,0,0,30,53.27,78.78,238.79,324.9,0,0,1,28.71
148,DISOLVIENDO,28.42,27.33,29.82,2.49,11.94,1221.0,111.5,0,0,0,30,53.36,78.78,237.72,325.1,0,0,1,28.71
149,DISOLVIENDO,28.42,27.34,29.82,2.48,11.94,1221.0,111.5,0,0,0,30,53.46,78.78,236.64,325.3,0,0,1,28.71
150,DISOLVIENDO,28.43,27.34,29.82,2.47,11.94,1221.0,111.5,0,0,0,30,53.55,78.78,235.57,325.5,0,0,1,28.71
151,DISOLVIENDO,28.43,27.35,29.82,2.47,11.94,1222.0,111.5,0,0,0,30,53.6,78.78,234.49,325.7,0,0,1,28.71
152,DISOLVIENDO,28.43,27.35,29.81,2.46,11.94,1222.0,111.5,0,0,0,30,53.63,78.78,233.42,325.9,0,0,1,28.71
153,DISOLVIENDO,28.43,27.36,29.81,2.45,11.94,1222.0,111.5,0,0,0,30,53.67,78.78,232.35,326.1,0,0,1,28.71
154,DISOLVIENDO,28.43,27.37,29.81,2.45,11.94,1222.0,111.5,0,0,0,30,53.72,78.78,231.29,326.3,0,0,1,28.71
155,DISOLVIENDO,28.43,27.37,29.81,2.44,11.94,1222.0,111.5,0,0,0,30,53.77,78.78,230.22,326.5,0,0,1,28.71
156,DISOLVIENDO,28.43,27.38,29.81,2.43,11.94,1222.0,111.5,0,0,0,30,53.82,78.78,229.15,326.7,0,0,1,28.71
157,DISOLVIENDO,28.43,27.38,29.81,2.42,11.94,1222.0,111.5,0,0,0,30,53.87,78.78,228.09,326.9,0,0,1,28.71
158,DISOLVIENDO,28.44,27.39,29.8,2.41,11.94,1222.0,111.5,0,0,0,30,53.93,78.78,227.03,327.1,0,0,1,28.71
159,DISOLVIENDO,28.44,27.4,29.8,2.4,11.94,1222.0,111.5,0,0,0,30,53.99,78.78,225.97,327.3,0,0,1,28.71
160,DISOLVIENDO,28.44,27.41,29.8,2.39,11.94,1222.0,111.5,0,0,0,30,54.06,78.78,224.91,327.5,0,0,1,28.71
161,DISOLVIENDO,28.44,27.41,29.8,2.39,11.94,1222.0,111.5,0,0,0,30,54.12,78.78,223.86,327.7,0,0,1,28.71
162,DISOLVIENDO,28.44,27.42,29.8,2.38,11.94,1222.0,111.5,0,0,0,30,54.19,78.78,222.8,327.9,0,0,1,28.71
163,DISOLVIENDO,28.44,27.43,29.79,2.37,11.94,1222.0,111.5,0,0,0,30,54.26,78.78,221.75,328.1,0,0,1,28.71
164,DISOLVIENDO,28.44,27.43,29.79,2.36,11.94,1222.0,111.5,0,0,0,30,54.34,78.78,220.7,328.3,0,0,1,28.71
165,DISOLVIENDO,28.44,27.43,29.79,2.36,11.94,1222.0,111.5,0,0,0,30,54.41,78.78,219.65,328.5,0,0,1,28.71
166,DISOLVIENDO,28.44,27.44,29.79,2.35,11.94,1222.0,111.5,0,0,0,30,54.49,78.78,218.6,328.7,0,0,1,28.71
167,DISOLVIENDO,28.45,27.44,29.79,2.35,11.94,1222.0,111.6,0,0,0,30,54.57,78.78,217.56,328.8,0,0,1,28.71
168,DISOLVIENDO,28.45,27.44,29.79,2.34,11.94,1222.0,111.6,0,0,0,30,54.65,78.78,216.52,329.0,0,0,1,28.71
169,DISOLVIENDO,28.45,27.45,29.78,2.34,11.94,1222.0,111.6,0,0,0,30,54.7,78.78,215.47,329.2,0,0,1,28.71
170,DISOLVIENDO,28.45,27.45,29.78,2.33,11.94,1223.0,111.6,0,0,0,30,54.73,78.78,214.44,329.4,0,0,1,28.71
171,DISOLVIENDO,28.45,27.46,29.78,2.32,11.94,1223.0,111.6,0,0,0,30,54.76,78.78,213.4,329.6,0,0,1,28.71
172,DISOLVIENDO,28.45,27.46,29.78,2.32,11.94,1223.0,111.6,0,0,0,30,54.8,78.78,212.36,329.8,0,0,1,28.71
173,DISOLVIENDO,28.45,27.47,29.78,2.31,11.94,1223.0,111.6,0,0,0,30,54.84,78.78,211.33,330.0,0,0,1,28.71
174,DISOLVIENDO,28.45,27.47,29.77,2.3,11.94,1223.0,111.6,0,0,0,30,54.88,78.78,210.3,330.2,0,0,1,28.71
175,DISOLVIENDO,28.45,27.48,29.77,2.29,11.94,1223.0,111.6,0,0,0,30,54.93,78.78,209.27,330.3,0,0,1,28.71
176,DISOLVIENDO,28.46,27.48,29.77,2.29,11.94,1223.0,111.6,0,0,0,30,54.98,78.78,208.24,330.5,0,0,1,28.71
